EmployeeID  EmployeeName                                                                                         Position                                           BranchID
----------- ---------------------------------------------------------------------------------------------------- -------------------------------------------------- -----------
1           Alice Brown                                                                                          Manager                                            1
2           Bob Smith                                                                                            Staff                                              2
3           Charlie Johnson                                                                                      Teller                                             3
4           David Lee                                                                                            Manager                                            4
5           Eva White                                                                                            Staff                                              5
6           Frank Hall                                                                                           Teller                                             6
7           Grace King                                                                                           Manager                                            7
8           Henry Scott                                                                                          Staff                                              8
9           Ivy Green                                                                                            Teller                                             9
10          Jack Adams                                                                                           Manager                                            10
11          Karen Baker                                                                                          Staff                                              11
12          Leo Carter                                                                                           Teller                                             12
13          Mia Nelson                                                                                           Manager                                            13
14          Noah Perez                                                                                           Staff                                              14
15          Olivia Roberts                                                                                       Teller                                             15
16          Paul Turner                                                                                          Manager                                            16
17          Quinn Phillips                                                                                       Staff                                              17
18          Ryan Campbell                                                                                        Teller                                             18
19          Sophia Parker                                                                                        Manager                                            19
20          Thomas Evans                                                                                         Staff                                              20
21          James Wilson                                                                                         Staff                                              1
22          Mary Johnson                                                                                         Teller                                             2
23          Robert Brown                                                                                         Staff                                              3
24          Patricia Taylor                                                                                      Manager                                            4
25          Jennifer Miller                                                                                      Teller                                             5
26          Michael Davis                                                                                        Staff                                              6
27          Linda Garcia                                                                                         Staff                                              7
28          William Martinez                                                                                     Teller                                             8
29          Elizabeth Jones                                                                                      Staff                                              9
30          David Rodriguez                                                                                      Manager                                            10
31          Richard Smith                                                                                        Teller                                             11
32          Barbara Hernandez                                                                                    Staff                                              12
33          Joseph Moore                                                                                         Staff                                              13
34          Susan Williams                                                                                       Teller                                             14
35          Charles Brown                                                                                        Staff                                              15
36          Jessica Anderson                                                                                     Manager                                            16
37          Thomas Thomas                                                                                        Staff                                              17
38          Sarah Jackson                                                                                        Teller                                             18
39          Christopher White                                                                                    Staff                                              19
40          Karen Harris                                                                                         Staff                                              20
41          Daniel Martin                                                                                        Teller                                             1
42          Nancy Thompson                                                                                       Staff                                              2
43          Matthew Garcia                                                                                       Manager                                            3
44          Lisa Martinez                                                                                        Staff                                              4
45          Anthony Robinson                                                                                     Teller                                             5
46          Margaret Clark                                                                                       Staff                                              6
47          Mark Rodriguez                                                                                       Staff                                              7
48          Sandra Lewis                                                                                         Teller                                             8
49          Donald Lee                                                                                           Staff                                              9
50          Ashley Walker                                                                                        Manager                                            10
51          Paul Hall                                                                                            Staff                                              11
52          Dorothy Allen                                                                                        Teller                                             12
53          Steven Young                                                                                         Staff                                              13
54          Kimberly Hernandez                                                                                   Staff                                              14
55          Andrew King                                                                                          Teller                                             15
56          Donna Wright                                                                                         Manager                                            16
57          Joshua Lopez                                                                                         Staff                                              17
58          Emily Hill                                                                                           Staff                                              18
59          Kenneth Scott                                                                                        Teller                                             19
60          Michelle Green                                                                                       Staff                                              20
61          Kevin Adams                                                                                          Staff                                              1
62          Carol Baker                                                                                          Teller                                             2
63          Brian Gonzalez                                                                                       Manager                                            3
64          Amanda Nelson                                                                                        Staff                                              4
65          George Carter                                                                                        Staff                                              5
66          Melissa Mitchell                                                                                     Teller                                             6
67          Edward Perez                                                                                         Staff                                              7
68          Deborah Roberts                                                                                      Staff                                              8
69          Ronald Turner                                                                                        Teller                                             9
70          Stephanie Phillips                                                                                   Manager                                            10
71          Timothy Campbell                                                                                     Staff                                              11
72          Rebecca Parker                                                                                       Staff                                              12
73          Jason Evans                                                                                          Teller                                             13
74          Laura Edwards                                                                                        Staff                                              14
75          Jeffrey Collins                                                                                      Staff                                              15
76          Sharon Stewart                                                                                       Teller                                             16
77          Ryan Sanchez                                                                                         Manager                                            17
78          Cynthia Morris                                                                                       Staff                                              18
79          Jacob Rogers                                                                                         Staff                                              19
80          Kathleen Reed                                                                                        Teller                                             20
81          Gary Cook                                                                                            Staff                                              1
82          Amy Morgan                                                                                           Staff                                              2
83          Nicholas Bell                                                                                        Teller                                             3
84          Shirley Murphy                                                                                       Manager                                            4
85          Eric Bailey                                                                                          Staff                                              5
86          Angela Rivera                                                                                        Staff                                              6
87          Jonathan Cooper                                                                                      Teller                                             7
88          Anna Richardson                                                                                      Staff                                              8
89          Stephen Cox                                                                                          Staff                                              9
90          Ruth Howard                                                                                          Teller                                             10
91          Larry Ward                                                                                           Manager                                            11
92          Brenda Torres                                                                                        Staff                                              12
93          Justin Peterson                                                                                      Staff                                              13
94          Nicole Gray                                                                                          Teller                                             14
95          Scott Ramirez                                                                                        Staff                                              15
96          Virginia James                                                                                       Staff                                              16
97          Brandon Watson                                                                                       Teller                                             17
98          Katherine Brooks                                                                                     Manager                                            18
99          Benjamin Kelly                                                                                       Staff                                              19
100         Pamela Sanders                                                                                       Staff                                              20
101         Samuel Price                                                                                         Teller                                             1
102         Catherine Bennett                                                                                    Staff                                              2
103         Gregory Wood                                                                                         Staff                                              3
104         Christine Barnes                                                                                     Teller                                             4
105         Frank Ross                                                                                           Manager                                            5
106         Debra Henderson                                                                                      Staff                                              6
107         Raymond Coleman                                                                                      Staff                                              7
108         Janet Jenkins                                                                                        Teller                                             8
109         Patrick Perry                                                                                        Staff                                              9
110         Carolyn Powell                                                                                       Staff                                              10
111         Jack Long                                                                                            Teller                                             11
112         Heather Patterson                                                                                    Manager                                            12
113         Dennis Hughes                                                                                        Staff                                              13
114         Diane Flores                                                                                         Staff                                              14
115         Jerry Washington                                                                                     Teller                                             15
116         Julie Butler                                                                                         Staff                                              16
117         Tyler Simmons                                                                                        Staff                                              17
118         Joyce Foster                                                                                         Teller                                             18
119         Aaron Gonzales                                                                                       Manager                                            19
