CustomerID  CustomerName                                       AccountID   Balance
----------- -------------------------------------------------- ----------- ---------------------------------------
1           John Smith                                         1           1900.00
2           Emily Johnson                                      2           2000.00
3           Michael Brown                                      3           1500.00
4           Sarah Davis                                        4           3000.00
4           Sarah Davis                                        334         6250.00
5           David Wilson                                       335         4750.00
5           David Wilson                                       5           2500.00
6           Emma Taylor                                        6           1800.00
6           Emma Taylor                                        336         5450.00
7           Daniel Anderson                                    337         3900.00
7           Daniel Anderson                                    7           2200.00
8           Olivia Thomas                                      8           2700.00
8           Olivia Thomas                                      338         5750.00
9           James Jackson                                      339         4250.00
9           James Jackson                                      9           3200.00
10          Sophia White                                       10          3500.00
10          Sophia White                                       340         5900.00
11          William Harris                                     341         4050.00
11          William Harris                                     11          4000.00
12          Isabella Martin                                    12          1200.00
12          Isabella Martin                                    342         5200.00
13          Benjamin Thompson                                  343         3750.00
13          Benjamin Thompson                                  13          2600.00
14          Mia Garcia                                         14          2800.00
14          Mia Garcia                                         344         6300.00
15          Lucas Martinez                                     345         4600.00
15          Lucas Martinez                                     15          3100.00
16          Amelia Robinson                                    16          3300.00
16          Amelia Robinson                                    346         5450.00
17          Henry Clark                                        347         4000.00
17          Henry Clark                                        17          3600.00
18          Evelyn Rodriguez                                   18          3900.00
18          Evelyn Rodriguez                                   348         6000.00
19          Alexander Lewis                                    349         4400.00
19          Alexander Lewis                                    19          4100.00
20          Harper Lee                                         20          4500.00
20          Harper Lee                                         350         6150.00
21          James Wilson                                       351         4200.00
21          James Wilson                                       21          3200.00
22          Mary Johnson                                       22          5100.00
22          Mary Johnson                                       352         5300.00
23          Robert Brown                                       353         3700.00
23          Robert Brown                                       23          2800.00
24          Patricia Taylor                                    24          4200.00
24          Patricia Taylor                                    354         6400.00
25          Jennifer Miller                                    355         4900.00
25          Jennifer Miller                                    25          3900.00
26          Michael Davis                                      26          4700.00
26          Michael Davis                                      356         5600.00
27          Linda Garcia                                       357         4100.00
27          Linda Garcia                                       27          3100.00
28          William Martinez                                   28          5500.00
28          William Martinez                                   358         6050.00
29          Elizabeth Jones                                    359         4500.00
29          Elizabeth Jones                                    29          2600.00
30          David Rodriguez                                    30          4800.00
30          David Rodriguez                                    360         6200.00
31          Richard Smith                                      361         4150.00
31          Richard Smith                                      31          3300.00
32          Barbara Hernandez                                  32          4100.00
32          Barbara Hernandez                                  362         5250.00
33          Joseph Moore                                       363         3800.00
33          Joseph Moore                                       33          2900.00
34          Susan Williams                                     34          5200.00
34          Susan Williams                                     364         6350.00
35          Charles Brown                                      365         4850.00
35          Charles Brown                                      35          3700.00
36          Jessica Anderson                                   36          4400.00
36          Jessica Anderson                                   366         5550.00
37          Thomas Thomas                                      367         4000.00
37          Thomas Thomas                                      37          3000.00
38          Sarah Jackson                                      38          4600.00
38          Sarah Jackson                                      368         5850.00
39          Christopher White                                  369         4350.00
39          Christopher White                                  39          3500.00
40          Karen Harris                                       40          5000.00
40          Karen Harris                                       370         6000.00
41          Daniel Martin                                      371         4150.00
41          Daniel Martin                                      41          3150.00
42          Nancy Thompson                                     42          4250.00
42          Nancy Thompson                                     372         5300.00
43          Matthew Garcia                                     373         3850.00
43          Matthew Garcia                                     43          2750.00
44          Margaret Clark                                     44          5350.00
44          Margaret Clark                                     374         6400.00
45          Anthony Robinson                                   375         4700.00
45          Anthony Robinson                                   45          3850.00
46          Sandra Lewis                                       46          4550.00
46          Sandra Lewis                                       376         5550.00
47          Mark Rodriguez                                     377         4100.00
47          Mark Rodriguez                                     47          3100.00
48          Ashley Walker                                      48          4900.00
48          Ashley Walker                                      378         6100.00
49          Donald Lee                                         379         4500.00
49          Donald Lee                                         49          3400.00
50          Kimberly Hernandez                                 50          5100.00
50          Kimberly Hernandez                                 380         6250.00
51          Paul Hall                                          381         4300.00
51          Paul Hall                                          51          3250.00
52          Dorothy Allen                                      52          4350.00
52          Dorothy Allen                                      382         5400.00
53          Steven Young                                       383         3800.00
53          Steven Young                                       53          2850.00
54          Emily Hill                                         54          5450.00
54          Emily Hill                                         384         6500.00
55          Andrew King                                        385         5000.00
55          Andrew King                                        55          3950.00
56          Donna Wright                                       56          4650.00
56          Donna Wright                                       386         5700.00
57          Joshua Lopez                                       387         4200.00
57          Joshua Lopez                                       57          3200.00
58          Michelle Green                                     58          5000.00
58          Michelle Green                                     388         6150.00
59          Kenneth Scott                                      389         4600.00
59          Kenneth Scott                                      59          3500.00
60          Carol Baker                                        60          5200.00
60          Carol Baker                                        390         6300.00
61          Brian Gonzalez                                     391         4250.00
61          Brian Gonzalez                                     61          3100.00
62          Amanda Nelson                                      62          4200.00
